keypts1,match_points,filename1,filename2,matchpercent,keypts2
data1\S01_29.png,data1\S01_0.png,494,224,494,2.232142857142857
data1\S01_29.png,data1\S01_10.png,494,500,494,0.8
data1\S01_29.png,data1\S01_14.png,494,469,494,0.8528784648187633
data1\S01_29.png,data1\S01_15.png,494,460,494,1.5217391304347827
data1\S01_29.png,data1\S01_16.png,494,454,494,0.44052863436123346
data1\S01_29.png,data1\S01_21.png,494,500,494,0.4
data1\S01_29.png,data1\S01_25.png,494,469,494,1.279317697228145
data1\S01_29.png,data1\S01_26.png,494,490,494,0.8163265306122449
data1\S01_29.png,data1\S01_27.png,494,500,494,1.0
data1\S01_29.png,data1\S01_28.png,494,475,494,0.0
data1\S01_29.png,data1\S01_30.png,494,482,494,1.4522821576763485
data1\S01_29.png,data1\S01_31.png,494,500,494,0.6
data1\S01_29.png,data1\S01_33.png,494,500,494,1.4
data1\S01_29.png,data1\S01_35.png,494,452,494,1.991150442477876
data1\S01_29.png,data1\S01_36.png,494,500,494,1.4
data1\S01_29.png,data1\S01_37.png,494,500,494,0.8
data1\S01_29.png,data1\S01_39.png,494,361,494,1.3850415512465375
data1\S01_29.png,data1\S03_1.png,494,500,494,0.6
data1\S01_29.png,data1\S03_10.png,494,500,494,0.8
data1\S01_29.png,data1\S03_11.png,494,454,494,0.8810572687224669
data1\S01_29.png,data1\S03_12.png,494,435,494,0.6896551724137931
